Nr;Tarih(UTC);Enlem;Boylam;Derinlik;Tip;Büyüklük
11659;25.11.2009 10:53;37,9465;28,8611;13,8;mb;4,5
11615;15.09.2009 09:23;39,09;29,05;11;Ml;4
11603;12.09.2009 00:50;37,5201;27,0555;12,4;mb;4
11602;11.09.2009 22:14;37,5293;27,008;7,09;Ml;4
11538;12.07.2009 23:32;37,95;29,39;5;Ml;4
11485;20.06.2009 08:28;37,61;26,93;2;Mw;5,1
11455;7.05.2009 23:46;39,2827;27,9397;4,7;Ml;4
11452;3.05.2009 02:34;37,8558;27,54;15,54;Ml;4,1
11444;12.04.2009 17:34;37,7035;28,0388;11,87;Ml;4,5
11433;22.03.2009 00:53;37,9228;29,1067;9,4;Ml;4
11418;19.02.2009 22:25;39,1235;29,0302;10,28;Ml;4
11412;17.02.2009 05:28;39,1488;29,0448;7;Mw;5,2
11404;28.01.2009 09:45;37,828;27,5623;6,7;Ml;4,1
11403;28.01.2009 09:17;37,8287;27,5533;9,3;Ml;4,4
11388;8.01.2009 15:43;37,8073;27,583;5,9;mb;4,2
11384;1.01.2009 19:01;37,0192;29,1508;22,5;Ml;4,1
11377;24.12.2008 05:55;37,8621;29,2368;10;Ml;4,5
11340;9.11.2008 13:20;36,8701;28,1658;63,6;Ml;4
11305;19.10.2008 10:54;39,1302;29,4344;10;mb;4
11172;1.10.2008 03:53;36,9738;29,1743;5,4;mb;4,1
11170;30.09.2008 07:30;38,97;29,927;6,7;mb;4,6
11142;25.08.2008 02:57;36,9757;29,2112;10;mb;4,3
11141;24.08.2008 22:52;36,9555;29,201;10;Ml;4
11117;20.07.2008 10:15;38,7415;26,5754;8,6;mb;4
11108;13.07.2008 14:30;38,9238;27,8482;10;Ml;4
11103;11.07.2008 14:11;37,0425;29,1598;4,8;mb;4,3
11102;10.07.2008 07:49;39,994;27,7128;7,9;mb;4,3
11100;3.07.2008 17:37;37,0196;29,2339;13,2;mb;4,5
11076;30.05.2008 05:34;36,9428;29,2048;1,2;mb;4
11075;28.05.2008 22:35;36,9235;29,2671;9,2;mb;4
11053;25.04.2008 04:48;37,804;29,32;12,3;Mw;5
11050;18.04.2008 13:49;37,9338;26,8954;8,5;Ml;4,1
11045;11.04.2008 08:01;37,6839;26,8918;10;mb;4,2
11018;15.03.2008 15:34;39,0409;27,859;2,5;Ml;4
11017;15.03.2008 11:52;39,0476;27,8478;11,8;mb;4,2
11007;1.03.2008 07:01;37,8743;26,8129;12,7;mb;4
10994;8.02.2008 11:17;38,6158;26,9899;11,9;Ml;4
10969;10.01.2008 17:52;37,9046;28,8;8,9;mb;4,2
10968;8.01.2008 15:57;36,9286;29,2359;10;Ml;4,3
10963;5.01.2008 05:11;38,59;26,9837;8,9;Ml;4,5
10956;28.12.2007 10:34;36,9135;29,2433;12,9;mb;4
10938;10.12.2007 21:50;38,7812;27,742;21,43;Md;4
10937;9.12.2007 20:29;36,964;29,292;20;mb;4,3
10933;2.12.2007 20:21;36,949;29,321;27,4;mb;4,6
10924;18.11.2007 10:48;38,96;29,84;6;Ml;4,1
10918;12.11.2007 15:02;36,973;29,267;10;mb;4,5
10915;11.11.2007 03:23;38,2512;26,519;9,12;Ml;4,2
10903;29.10.2007 09:23;36,908;29,342;20;Mw;5,3
10897;25.10.2007 05:02;39,3348;27,7441;8,2;Ml;4,2
10873;29.09.2007 22:35;39,7439;27,7464;3,5;Md;4
10858;20.09.2007 06:18;39,22;29,42;5;mb;4
10847;9.09.2007 05:14;38,806;26,44;10,1;mb;4,2
10766;23.04.2007 05:20;38,314;26,6147;10,1;Ml;4,1
10721;6.03.2007 03:34;37,0986;28,5497;4,7;Ml;4,4
10684;31.01.2007 23:13;36,9418;27,7806;14,5;Ml;4,2
10678;23.01.2007 21:22;38,085;28,827;25;Mw;4,9
10600;12.10.2006 03:20;37,826;29,23;15,6;mb;4,1
10551;9.08.2006 09:18;37,0106;27,9377;4,4;mb;4
10533;13.07.2006 22:46;38,76;26,75;35;mb;4,2
10530;13.07.2006 00:15;38,807;26,7096;14,5;Ml;4
10529;12.07.2006 14:40;38,7995;26,7611;6,5;Ml;4,3
10508;12.06.2006 08:07;38,1506;26,6811;9,7;mb;4
10502;5.06.2006 04:38;37,8764;28,7138;12,4;mb;4
10501;5.06.2006 04:23;37,889;28,748;28,9;Mw;4,8
10471;18.04.2006 01:21;36,8804;28,1849;16,9;mb;4
10470;17.04.2006 20:18;36,904;28,25;5,6;mb;4,2
10469;17.04.2006 11:53;36,9158;28,2806;10;mb;4,1
10449;9.03.2006 03:18;37,8617;26,7736;12,3;mb;4
10417;20.01.2006 10:40;36,858;28,266;12,4;mb;4
10399;24.12.2005 03:56;38,778;27,818;7,5;mb;4,3
10371;16.11.2005 05:41;38,149;26,5905;1,5;Md;4
10368;10.11.2005 20:09;38,15;26,59;12;mb;4
10359;2.11.2005 04:27;38,17;26,51;16;mb;4,1
10357;31.10.2005 06:48;38,11;26,59;6;mb;4,1
10356;31.10.2005 05:26;38,088;26,717;4,5;mb;4,4
10354;29.10.2005 19:49;38,13;26,66;6;mb;4,1
10353;29.10.2005 14:48;38,095;26,676;6,4;mb;4,1
10351;28.10.2005 19:49;38,14;26,72;5;mb;4
10345;24.10.2005 21:15;38,1717;26,604;13,9;Md;4
10343;23.10.2005 14:59;38,1268;26,6001;10;Ml;4,1
10341;21.10.2005 20:03;38,1493;26,6941;1,4;Ml;4
10340;21.10.2005 11:47;38,1697;26,6073;10;mb;4
10339;21.10.2005 01:19;38,12;26,62;9;mb;4
10338;20.10.2005 23:16;38,199;26,7474;6;Ml;4
10337;20.10.2005 22:27;38,1454;26,6973;3,9;Ml;4
10336;20.10.2005 22:15;38,2087;26,669;9,1;Ml;4
10335;20.10.2005 22:02;38,21;26,62;18;mb;4
10334;20.10.2005 21:44;38,2076;26,6865;3,6;Ml;4,4
10333;20.10.2005 21:40;38,15;26,67;15;Mw;5,8
10332;19.10.2005 22:38;37,83;27,16;13;mb;4,2
10331;19.10.2005 15:24;38,14;26,7;12;mb;4
10330;19.10.2005 10:11;38,1501;26,6376;16,7;mb;4,3
10329;18.10.2005 22:49;38,15;26,68;15;mb;4
10328;18.10.2005 16:00;38,16;26,55;14;mb;4,4
10326;17.10.2005 23:13;38,16;26,58;11;mb;4
10325;17.10.2005 14:53;38,137;26,7037;9;Ml;4
10323;17.10.2005 13:22;38,17;26,56;16;mb;4,3
10322;17.10.2005 13:16;38,1893;26,6513;5,3;Ml;4,1
10321;17.10.2005 12:43;38,12;26,56;11;mb;4,4
10320;17.10.2005 12:22;38,13;26,73;10;mb;4
10319;17.10.2005 11:52;38,18;26,58;18;mb;4,1
10318;17.10.2005 11:17;38,16;26,69;14;mb;4
10317;17.10.2005 10:07;38,12;26,75;15;mb;4,2
10316;17.10.2005 09:58;38,169;26,6871;6,1;mb;4,3
10315;17.10.2005 09:55;38,152;26,731;17,8;Mw;5,2
10314;17.10.2005 09:46;38,172;26,728;7,3;Mw;5,8
10313;17.10.2005 08:34;38,15;26,6588;10;mb;4
10312;17.10.2005 08:28;38,1638;26,6529;8,8;Ml;4,2
10311;17.10.2005 07:05;38,15;26,63;17;mb;4,3
10310;17.10.2005 06:16;38,15;26,64;13;mb;4,2
10309;17.10.2005 05:59;38,18;26,57;20;mb;4,1
10308;17.10.2005 05:45;38,1336;26,6723;17,9;Mw;5,5
10220;2.07.2005 01:09;37,792;26,7158;9,2;Ml;4
10219;23.06.2005 22:44;37,717;26,737;5,2;mb;4,3
